seed,run_name,margin_bin,lower_bound_inclusive,upper_bound_exclusive,cell_count,rmse,mae,wet_dry_class_error_rate,false_dry_rate,false_wet_rate,false_dry_cell_fraction,false_wet_cell_fraction,pred_wet_fraction,target_wet_fraction,mean_confidence_margin,min_confidence_margin,max_confidence_margin
all,aggregate,"[0,0.005)",0.0,0.005,241259,0.11610766475434117,0.053694579445506756,0.4548804396934415,0.4929863418235511,0.423810562908675,0.22142179151865837,0.23345864817478312,0.4611807227916886,0.44914386613556384,0.0025086684118413283,4.023313522616423e-08,0.0049999982118606595
all,aggregate,"[0.005,0.01)",0.005,0.01,257483,0.11040219249822661,0.051515978931865235,0.36369779752449677,0.4772124181187255,0.2819745499482315,0.19975299340150612,0.16394480412299064,0.3827747851314456,0.41858297440996106,0.007541250001322435,0.00500000715255737,0.009999987483024594
all,aggregate,"[0.01,0.02)",0.01,0.02,651005,0.09619717051584095,0.04426797486563844,0.23234076543190912,0.4537012810937582,0.12677577280997473,0.14650117894639827,0.08583958648551086,0.2622406893956268,0.32290228185651415,0.01533827695850879,0.010000023245811465,0.019999998807907107
all,aggregate,"[0.02,0.05)",0.02,0.05,9439361,0.03962766906874741,0.012771596817553429,0.029015099644986563,0.3995804838136993,0.007489509474400427,0.021936760337908468,0.007078339307078096,0.04004105786398041,0.05489947889481078,0.04047841263027249,0.020000022649765012,0.04999998509883881
all,aggregate,"[0.05,0.1)",0.05,0.1,10497565,0.03030964809190174,0.012819785763784891,0.004475609343690656,0.06311539841526777,0.002362605867718547,0.0021951757383736133,0.0022804336053170427,0.03486560931034959,0.03478035144340616,0.05902685840671326,0.05,0.09999981820583344
all,aggregate,"[0.1,0.2)",0.1,0.2,389248,0.1534898463288554,0.10155941592463213,0.01823516113120684,5.0363033533386495e-05,0.2223408598436077,4.624301216705031e-05,0.01818891811903979,0.9363362175271293,0.9181935424202565,0.1422315460712144,0.10000000596046447,0.19999947845935823
all,aggregate,"[0.2,5)",0.2,5.0,937391,0.1686871227319027,0.12469771414685224,0.00167486139721845,0.0,0.8981693363844394,0.0,0.00167486139721845,0.9998101112556019,0.9981352498583835,0.5870921632388126,0.20000017881393434,2.5320722579956056
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0,0.005)",0.0,0.005,79035,0.10453540038830991,0.05364869296372848,0.4566837477067122,0.4954594167747758,0.4251325240379099,0.22228126779275004,0.23440247991396218,0.46075789207313217,0.44863667995192,0.002510072492652701,1.0728836059847868e-07,0.004999551177024844
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0.005,0.01)",0.005,0.01,84426,0.10240370226804438,0.052202656165529784,0.37343946177717763,0.4866940626328468,0.2921185975051383,0.20340890247080284,0.1700305593063748,0.38456162793452253,0.41793997109895054,0.007546638103870346,0.00500000715255737,0.009999942779541013
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0.01,0.02)",0.01,0.02,215654,0.09769240795847577,0.04595791378347776,0.2415860591503056,0.46596709749889803,0.13299845174608635,0.15196101162046613,0.08962504752983946,0.26378365344487004,0.3261196175354967,0.015337197747837546,0.010000032186508176,0.019999998807907107
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0.02,0.05)",0.02,0.05,3101018,0.04461156383283097,0.013657887618191469,0.031898234708731134,0.42064749325063033,0.008044858170228583,0.02431846574254003,0.007579768966191103,0.0410732862563197,0.05781198303266863,0.04026026570112446,0.020000118017196658,0.04999998509883881
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0.05,0.1)",0.05,0.1,3554709,0.03269549324016257,0.01326999710101984,0.005482305302628148,0.08666336551951803,0.00261741602469056,0.0029541096050337734,0.002528195697594374,0.03366126453670328,0.034087178444142684,0.05911894371720029,0.05,0.09999821782112121
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0.1,0.2)",0.1,0.2,124306,0.16221791599183194,0.10913126408229959,0.02470516306533876,0.0,0.3237402487876871,0.0,0.02470516306533876,0.9483934806043152,0.9236883175389764,0.14292038154472733,0.10000000596046447,0.19999794363975526
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0.2,5)",0.2,5.0,311956,0.19674971991406628,0.14950737501076533,0.00222467271025401,0.0,0.9638888888888889,0.0,0.00222467271025401,0.9999166549128723,0.9976919822026183,0.5886218998762827,0.20000131130218507,2.5320722579956056
seed202,phase10_margin_aware_boundary_band_seed202_40e,"[0,0.005)",0.0,0.005,72936,0.12055945428323803,0.0482538230631336,0.4519441702314358,0.4922490157480315,0.4195280031664358,0.21942524953383788,0.2325189206975979,0.4588543380497971,0.44576066688603705,0.002520906406104258,1.7583370208462679e-07,0.0049999982118606595
seed202,phase10_margin_aware_boundary_band_seed202_40e,"[0.005,0.01)",0.005,0.01,78954,0.11520696882503732,0.046434344284654906,0.3469741875015832,0.4546488746771615,0.27154856773637737,0.1872862679534919,0.1596879195480913,0.3843377156318869,0.41193606403728755,0.0075404851608044205,0.005000022053718564,0.009999987483024594
seed202,phase10_margin_aware_boundary_band_seed202_40e,"[0.01,0.02)",0.01,0.02,202469,0.09379836686393767,0.03932366549721546,0.20942959169057979,0.4121343548182854,0.1174933413739384,0.12859746430317728,0.08083212738740252,0.2642626772493567,0.31202801416513143,0.015363236400699072,0.010000023245811465,0.019999983906745913
seed202,phase10_margin_aware_boundary_band_seed202_40e,"[0.02,0.05)",0.02,0.05,3016924,0.03234359887499297,0.011329645521974232,0.022030385916251123,0.30738648524194645,0.006661107883818877,0.01570970962477013,0.006320676291480992,0.04171831971902507,0.05110735305231421,0.04064038741738266,0.020000028610229495,0.04999998509883881
seed202,phase10_margin_aware_boundary_band_seed202_40e,"[0.05,0.1)",0.05,0.1,3628184,0.025363472671835603,0.012397540037390287,0.002764192775228599,0.027754362468980186,0.0018581940330436367,0.0009710091880676394,0.0017931835871609599,0.03580799650734362,0.0349858221082503,0.059413072175883326,0.05,0.09999981820583344
seed202,phase10_margin_aware_boundary_band_seed202_40e,"[0.1,0.2)",0.1,0.2,140262,0.12122418079308596,0.08189227558355375,0.01305414153512712,4.7061776425187465e-05,0.14291307752545027,4.277708859135047e-05,0.01301136444653577,0.9219246838060202,0.9089560964480757,0.14184148122967027,0.10000100433826446,0.19999947845935823
seed202,phase10_margin_aware_boundary_band_seed202_40e,"[0.2,5)",0.2,5.0,331375,0.1309935268883063,0.098112510616238,0.0014334213504337986,0.0,0.7575757575757576,0.0,0.0014334213504337986,0.9995413051678612,0.9981078838174274,0.5837772432982449,0.20000017881393434,2.1557716846466066
seed42,phase10_margin_aware_boundary_band_seed42_40e,"[0,0.005)",0.0,0.005,89288,0.12198560674588016,0.05817954546100846,0.45568273452199626,0.4914087645456796,0.42617284960530083,0.22229190932712123,0.233390825194875,0.46345533554341006,0.4523564196756563,0.0024974288065585603,4.023313522616423e-08,0.004999893903732303
seed42,phase10_margin_aware_boundary_band_seed42_40e,"[0.005,0.01)",0.005,0.01,94103,0.11316464910168297,0.05516349250535896,0.3689892989596506,0.4872025820010508,0.2817083533454022,0.20693282892150092,0.16205647003814969,0.3798603657694229,0.42473672465277407,0.007537057693665396,0.005000013113021853,0.0099999725818634
seed42,phase10_margin_aware_boundary_band_seed42_40e,"[0.01,0.02)",0.01,0.02,232882,0.09685904037561217,0.047001665258745294,0.24369852543348133,0.47669021980027637,0.12926441962913635,0.15701084669489268,0.08668767873858864,0.25905394148109345,0.32937710943739745,0.015317576444073458,0.010000023245811465,0.019999985396862027
seed42,phase10_margin_aware_boundary_band_seed42_40e,"[0.02,0.05)",0.02,0.05,3321419,0.04067622495546956,0.01325387675406581,0.032667664031547965,0.45607919763143223,0.007728269442777777,0.025369277408240274,0.007298386623307689,0.03755382864974278,0.05562471943467536,0.04053495832092618,0.020000022649765012,0.049999970197677615
seed42,phase10_margin_aware_boundary_band_seed42_40e,"[0.05,0.1)",0.05,0.1,3314672,0.0325404801744724,0.01279915473187651,0.005269299647144574,0.07709138149123107,0.0026412998472636934,0.002721234559558231,0.0025480650875863435,0.03512564742454155,0.035298816896513444,0.05850536152863949,0.05,0.09999926090240478
seed42,phase10_margin_aware_boundary_band_seed42_40e,"[0.1,0.2)",0.1,0.2,124680,0.1754522036372924,0.11613534054312206,0.017613089509143406,0.00010426350864083828,0.22780849066444142,9.624639076034648e-05,0.01751684311838306,0.9405277510426693,0.9231071543150465,0.14198359044428283,0.10000051259994507,0.19999898672103883
seed42,phase10_margin_aware_boundary_band_seed42_40e,"[0.2,5)",0.2,5.0,294060,0.1740850139910358,0.12833693490280146,0.0013636672787866423,0.0,1.0,0.0,0.0013636672787866423,1.0,0.9986363327212133,0.5892048989826301,0.2000005066394806,2.1766621589660646
