phase,seed,run_name,run_dir,region,region_is_physical_target_domain,diagnostic_note,sample_frame_count,pixel_count,target_wet_count,prediction_wet_count,target_dry_count,false_dry_count,false_wet_count,sum_sq_error,sum_abs_error,sum_error,false_dry_volume_loss_proxy,false_wet_volume_excess_proxy,target_volume_proxy,predicted_volume_proxy,locations,rmse,mae,bias,absolute_error_mean,false_dry_rate,false_wet_rate,volume_bias_proxy,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy,peak_depth_underprediction,batch_count
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,valid_domain,True,,456,6588024,867574,907817,5720450,65925,106168,15510.651668861141,125959.56296652691,-25605.23026866062,4241.308930572122,5436.242057647734,321485.9729248464,320367.37162931263,"location1,location2,location3",0.048521859513332356,0.019119475424881103,-0.0038866328156455746,0.019119475424881103,0.075987754358706,0.01855937906982842,-1118.6012955337646,-0.003479471546944474,0.003479471546944474,0.13942117544642665,19
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,interior,True,,456,5975208,804242,841823,5170966,59650,97231,14730.549908555167,115613.08328472191,-22859.47359063372,3916.6084016151726,5043.353135336909,301692.1363412207,300580.35768704116,"location1,location2,location3",0.04965156775842242,0.01934879644101459,-0.0038257201407271044,0.01934879644101459,0.07416921772302366,0.018803256490179977,-1111.7786541795358,-0.0036851429661464187,0.0036851429661464187,0.13913902065210176,19
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,boundary_ring,True,,456,612816,63332,65994,549484,6275,8937,780.1017603059527,10346.479681804904,-2745.7566780269044,324.7005289569497,392.88892231082536,19793.8365836263,19787.01394227147,"location1,location2,location3",0.035678828090331516,0.016883501217012778,-0.004480556444392615,0.016883501217012778,0.09908103328491126,0.01626434982638257,-6.822641354829102,-0.00034468514105410336,0.00034468514105410336,0.22645657614134906,19
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,high_impervious_valid,True,,456,3325248,523090,547559,2802158,39945,64414,10206.14417044511,72664.93651979895,-15303.59344701191,2572.4737198017538,3456.5024179638394,194295.70180523806,191247.7767207399,"location1,location2,location3",0.055401156273029585,0.02185248634682254,-0.004602241230432109,0.02185248634682254,0.07636353208816839,0.022987283372315193,-3047.925084498158,-0.015687043285977562,0.015687043285977562,0.1558295488357544,19
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,manhole_nonzero_valid,True,,456,601056,72682,74645,528374,9694,11657,1911.0932879731736,12535.172505254186,-2849.964948618953,693.973890401423,622.0124956212094,28106.944535749193,27122.174767546356,"location1,location2,location3",0.05638758245672479,0.020855248937294006,-0.004741596371417893,0.020855248937294006,0.13337552626510002,0.022062024247975865,-984.7697682028374,-0.03503652867533537,0.03503652867533537,0.13436382512251535,19
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,invalid_or_high,False,invalid_or_high is diagnostic-only and not a physical target domain,456,883080,0,787,883080,0,787,131.89979061074547,8067.889339253306,-3922.187223687768,0.0,50.80080570280552,0.0,2072.851057782769,"location1,location2,location3",0.012221430110882515,0.00913607978807504,-0.004441485735933061,0.00913607978807504,,0.000891198985369389,2072.851057782769,,,0.0,19
phase27,42,phase27_volume_response_seed42_40e,runs/phase27_volume_response_seed42_40e,valid_domain,True,,456,6588024,867574,911851,5720450,59791,104068,13990.425326727642,121017.12636545325,-14708.661478329177,3575.3623331300914,5263.665063625538,321485.9729248464,326930.6332872361,"location1,location2,location3",0.04608269532849565,0.018369260094597904,-0.0022326362925103455,0.018369260094597904,0.06891746410104499,0.01819227508325394,5444.660362389695,0.016935918892058442,0.016935918892058442,0.12804519267458664,19
phase27,42,phase27_volume_response_seed42_40e,runs/phase27_volume_response_seed42_40e,interior,True,,456,5975208,804242,845203,5170966,54296,95257,13327.537061134475,111057.9385184899,-13112.915107048031,3313.5813191197813,4877.3200995858315,301692.1363412207,306344.9253471494,"location1,location2,location3",0.04722787830488515,0.018586455654512765,-0.0021945537472583434,0.018586455654512765,0.06751201752706275,0.018421509636690706,4652.789005928673,0.01542230786110468,0.01542230786110468,0.12790981052737488,19
phase27,42,phase27_volume_response_seed42_40e,runs/phase27_volume_response_seed42_40e,boundary_ring,True,,456,612816,63332,66648,549484,5495,8811,662.8882655931602,9959.187846963307,-1595.7463712811314,261.7810140103102,386.3449640397066,19793.8365836263,20585.707940086722,"location1,location2,location3",0.032889336916333174,0.016251514071047926,-0.0026039567688851653,0.016251514071047926,0.08676498452599002,0.016035043786534278,791.8713564604222,0.04000595605176754,0.04000595605176754,0.18855777039731803,19
phase27,42,phase27_volume_response_seed42_40e,runs/phase27_volume_response_seed42_40e,high_impervious_valid,True,,456,3325248,523090,548603,2802158,36708,62221,9321.666453687714,69676.4864205343,-10475.23044299804,2209.486143860966,3299.279559932278,194295.70180523806,194013.00609181076,"location1,location2,location3",0.052946195516427534,0.02095377139405371,-0.003150210282961764,0.02095377139405371,0.07017530444091839,0.022204672256168283,-282.69571342729614,-0.0014549766711291958,0.0014549766711291958,0.13791113686666154,19
phase27,42,phase27_volume_response_seed42_40e,runs/phase27_volume_response_seed42_40e,manhole_nonzero_valid,True,,456,601056,72682,75632,528374,8520,11470,1709.3167230399613,12047.998945337806,-1854.3791261261001,539.3424889221787,591.9965047493242,28106.944535749193,27866.472664646804,"location1,location2,location3",0.053327816554534536,0.020044719535846585,-0.0030852019214950024,0.020044719535846585,0.11722297129963402,0.02170810827179233,-240.47187110238883,-0.008555603430907721,0.008555603430907721,0.13456998216478447,19
phase27,42,phase27_volume_response_seed42_40e,runs/phase27_volume_response_seed42_40e,invalid_or_high,False,invalid_or_high is diagnostic-only and not a physical target domain,456,883080,0,598,883080,0,598,132.07483255257628,8119.19481946528,-3151.7694691568613,0.0,36.96845977008343,0.0,2483.712675154209,"location1,location2,location3",0.012229536846967846,0.009194178125951533,-0.0035690644892386434,0.009194178125951533,,0.0006771753408524709,2483.712675154209,,,0.0,19
phase29,42,phase29_tolerance_band_volume_seed42_40e,runs/phase29_tolerance_band_volume_seed42_40e,valid_domain,True,,456,6588024,867574,914536,5720450,64191,111153,15241.123566588478,125496.70364467203,-19380.365187938954,4027.3792872279882,5690.269840603172,321485.9729248464,325194.13230576366,"location1,location2,location3",0.04809843056698706,0.0190492177388352,-0.0029417569195162242,0.0190492177388352,0.07398907758877052,0.019430814009387374,3708.1593809172628,0.011534436004099367,0.011534436004099367,0.13459338849050956,19
phase29,42,phase29_tolerance_band_volume_seed42_40e,runs/phase29_tolerance_band_volume_seed42_40e,interior,True,,456,5975208,804242,848765,5170966,57534,102057,14436.132266278257,115016.0444446261,-17479.853173128213,3677.63021652773,5282.5039549678295,301692.1363412207,304874.5347806215,"location1,location2,location3",0.04915287353700131,0.01924887710095215,-0.0029253966009431323,0.01924887710095215,0.07153816885962186,0.019736544390351822,3182.3984394008294,0.010548496483850889,0.010548496483850889,0.1342251004095663,19
phase29,42,phase29_tolerance_band_volume_seed42_40e,runs/phase29_tolerance_band_volume_seed42_40e,boundary_ring,True,,456,612816,63332,65771,549484,6657,9096,804.9913003102234,10480.659200045875,-1900.5120148107248,349.749070700258,407.7658856353428,19793.8365836263,20319.597525142133,"location1,location2,location3",0.03624353464467959,0.017102456854987264,-0.0031012767532354324,0.017102456854987264,0.10511273921556244,0.016553712210000654,525.7609415158331,0.02656185117496367,0.02656185117496367,0.2103678205360969,19
phase29,42,phase29_tolerance_band_volume_seed42_40e,runs/phase29_tolerance_band_volume_seed42_40e,high_impervious_valid,True,,456,3325248,523090,551576,2802158,38736,67222,9995.370886995057,72169.22102899045,-11409.871733007032,2406.7153332419693,3610.9053963982137,194295.70180523806,194211.66126266867,"location1,location2,location3",0.05482611041208855,0.021703410100236267,-0.0034312844434481373,0.021703410100236267,0.07405226634040031,0.0239893681940847,-84.0405425693898,-0.0004325393808949619,0.0004325393808949619,0.14513027249721058,19
phase29,42,phase29_tolerance_band_volume_seed42_40e,runs/phase29_tolerance_band_volume_seed42_40e,manhole_nonzero_valid,True,,456,601056,72682,75807,528374,9543,12668,1878.16048212891,12592.413946889024,-2157.0527097603044,652.6776378117502,657.260562272364,28106.944535749193,27702.117663234472,"location1,location2,location3",0.05589962324334801,0.020950483726789225,-0.0035887716115641545,0.020950483726789225,0.13129798299441403,0.02397544163793071,-404.8268725147209,-0.014403090737942789,0.014403090737942789,0.1494295533681125,19
phase29,42,phase29_tolerance_band_volume_seed42_40e,runs/phase29_tolerance_band_volume_seed42_40e,invalid_or_high,False,invalid_or_high is diagnostic-only and not a physical target domain,456,883080,0,1036,883080,0,1036,126.35546476419684,7834.429211586714,-2735.972397983074,0.0,64.85271190106869,0.0,2549.22840680182,"location1,location2,location3",0.011961812490615616,0.008871709484516368,-0.003098215787904917,0.008871709484516368,,0.001173166644018662,2549.22840680182,,,0.0,19
